close,high,low,trade_count,open,volume,vwap,date,bollinger bands upper band,bollinger bands lower band,bollinger bands signals,dual thrust upperbound,dual thrust lowerbound,dual thrust signals,HA open,HA close,HA high,HA low,HA signals,awesome ma1,awesome ma2,awesome signals,macd ma1,macd ma2,macd signals,parabolic sar,sar signals,RSI,RSI signals
985.0,1012.7099,982.19,580186,999.29,20485645,991.543876,2022-04-14,1155.484985,907.241015,0,1116.135000,998.385000,-1.000000,1003.728245,994.797475,1012.709900,982.190000,0.000000,1004.601220,948.731510,0.000000,1006.759438,967.333857,0.000000,48.320000,1.000000,67.032570,0
1004.29,1014.92,973.41,544523,989.03,17544519,997.466472,2022-04-18,1146.384011,926.231989,0,1087.444950,963.535050,0.000000,999.262860,995.412500,1014.920000,973.410000,0.000000,996.346720,953.095665,0.000000,1005.936292,969.445637,0.000000,48.320000,1.000000,72.994843,-1
1028.15,1034.94,995.325,527909,1005.06,17146925,1021.522045,2022-04-19,1137.672419,945.642581,0,1039.620000,912.240000,0.000000,997.337680,1015.868750,1034.940000,995.325000,0.000000,1001.062410,957.310444,0.000000,1013.340862,972.800172,0.000000,48.320000,1.000000,73.486433,-1
977.2,1034.0,975.2501,864911,1030.0,24210107,998.029891,2022-04-20,1138.859473,942.777527,0,1075.420000,898.480000,0.000000,1006.603215,1004.112525,1034.000000,975.250100,0.000000,1002.208200,961.406003,0.000000,1001.293908,973.051591,0.000000,48.320000,1.000000,72.461017,-1
1008.78,1092.22,996.415,1119159,1074.73,35784091,1046.100744,2022-04-21,1138.569234,944.034766,0,1073.905000,970.835000,0.000000,1005.357870,1043.036250,1092.220000,996.415000,0.000000,1011.138000,966.841237,0.000000,1003.789272,975.093214,0.000000,48.320000,1.000000,69.397865,0
1005.05,1034.85,994.0001,687821,1014.91,23771812,1013.747279,2022-04-22,1138.730430,942.986570,0,1035.330000,934.670000,0.000000,1024.197060,1012.202525,1034.850000,994.000100,0.000000,1014.533020,971.959460,0.000000,1004.209515,976.805030,0.000000,48.320000,1.000000,69.980702,0
998.02,1008.62,975.3,719908,978.97,23359892,992.71945,2022-04-25,1139.077584,941.377416,0,1040.545000,968.035000,0.000000,1018.199792,990.227500,1018.199792,975.300000,1.000000,1014.092020,976.565490,-1.000000,1002.146343,978.017314,0.000000,48.320000,1.000000,74.529288,-1
876.42,1000.0,875.0,1570851,995.43,46317045,910.826915,2022-04-26,1149.335930,909.577070,1,1053.305000,1002.995000,-1.000000,1004.213646,936.712500,1004.213646,875.000000,0.000000,998.565520,980.136666,0.000000,960.237562,972.211753,-1.000000,48.320000,1.000000,65.074371,0
881.51,918.0,877.36,913173,898.58,25911007,897.00504,2022-04-27,1150.627941,886.479059,1,1004.726500,949.673500,-1.000000,970.463073,893.862500,970.463073,877.360000,0.000000,977.176510,981.648284,0.000000,933.995041,967.028796,0.000000,48.320000,1.000000,58.377760,0
877.51,900.0,821.7,1367548,899.98,42238147,859.172916,2022-04-28,1148.939906,866.519094,0,1037.650000,979.910000,-1.000000,932.162787,874.797500,932.162787,821.700000,0.000000,940.483010,982.484900,0.000000,915.166694,961.913436,0.000000,48.320000,1.000000,59.511842,0
870.76,934.3999,870.0,887200,902.25,30278926,900.351355,2022-04-29,1147.093469,847.681531,0,1062.560000,947.540000,-1.000000,903.480143,894.352475,934.399900,870.000000,0.000000,918.037990,984.938251,0.000000,900.364463,956.704669,0.000000,48.320000,1.000000,55.049372,0
902.94,906.3599,848.03,786413,860.77,25994801,877.43727,2022-05-02,1137.776092,838.833908,0,1055.530000,940.510000,-1.000000,898.916309,879.524975,906.359900,848.030000,0.000000,895.084980,987.844868,0.000000,901.222975,953.632402,0.000000,48.320000,1.000000,48.890577,0
909.25,924.08,888.59,607316,903.18,21733006,908.667822,2022-05-03,1110.178251,842.811749,0,933.930000,818.910000,0.000000,889.220642,906.275000,924.080000,888.590000,0.000000,888.851980,991.529132,0.000000,903.898650,951.096265,0.000000,48.320000,1.000000,50.224091,0
952.62,955.5,885.28,728809,903.94,28143234,918.255649,2022-05-04,1092.102972,847.023028,0,989.410000,773.610000,0.000000,897.747821,924.335000,955.500000,885.280000,0.000000,893.393980,994.419131,0.000000,920.139100,951.183335,0.000000,48.320000,1.000000,54.347120,0
873.28,945.6,857.7,1016723,939.21,31821412,889.948412,2022-05-05,1085.165600,836.712400,0,985.410000,769.610000,0.000000,911.041411,903.947500,945.600000,857.700000,0.000000,901.553980,995.927693,1.000000,904.519400,946.731716,0.000000,48.320000,1.000000,49.672243,0
865.65,888.0,843.105,787098,887.0,24805733,868.182333,2022-05-06,1073.849933,828.867067,0,962.435000,779.085000,0.000000,907.494455,870.938750,907.494455,843.105000,0.000000,894.224490,995.278649,0.000000,891.562933,942.098475,0.000000,48.320000,1.000000,51.968970,0
787.11,845.63,781.15,1135045,836.45,31114166,809.790731,2022-05-09,1077.020524,801.858476,1,991.100000,814.780000,-1.000000,889.216603,812.585000,889.216603,781.150000,0.000000,881.463500,991.996884,0.000000,856.745289,933.241991,0.000000,48.320000,1.000000,54.721409,0
800.04,825.36,774.25,894446,819.0,28782115,800.49905,2022-05-10,1080.356552,780.933448,0,973.870000,844.630000,-1.000000,850.900801,804.662500,850.900801,774.250000,0.000000,860.157500,987.291001,0.000000,837.843526,925.630448,0.000000,48.320000,1.000000,48.349803,0
734.0,809.77,727.2,1144560,795.0,33120950,765.360381,2022-05-11,1088.917102,747.077898,1,996.395000,908.845000,-1.000000,827.781651,766.492500,827.781651,727.200000,0.000000,829.776500,980.230266,0.000000,803.229017,914.680137,0.000000,48.320000,1.000000,52.074659,0
728.0,759.66,680.0,1393019,701.0,47600415,720.853786,2022-05-12,1086.603228,719.954772,0,938.740000,807.820000,-1.000000,797.137075,717.165000,797.137075,680.000000,0.000000,793.412500,971.794531,0.000000,778.152678,904.012701,0.000000,48.320000,1.000000,51.601312,0
769.59,787.3499,751.565,860108,773.48,31421666,769.727436,2022-05-13,1080.859390,704.157610,0,917.945000,813.355000,-1.000000,757.151038,770.496225,787.349900,751.565000,0.000000,774.193490,964.732691,0.000000,775.298452,896.331404,0.000000,48.320000,1.000000,50.666540,0
724.37,769.76,719.0885,844610,767.16,29171458,740.383642,2022-05-16,1073.377617,683.647383,0,841.867500,732.352500,-1.000000,763.823631,745.094625,769.760000,719.088500,0.000000,760.400340,954.988112,0.000000,758.322301,886.505038,0.000000,48.320000,1.000000,37.882978,0
761.61,764.48,728.85,728841,747.36,27343380,750.422803,2022-05-17,1053.301701,677.069299,0,885.775000,714.305000,0.000000,754.459128,750.575000,764.480000,728.850000,0.000000,749.772340,944.774141,0.000000,759.418201,879.368178,0.000000,48.320000,1.000000,38.581530,0
